,x,y,validity,timestamp_us
295,1114.56298828125,562.8975830078125,Valid,246749257799
296,1111.4423828125,560.0179443359375,Valid,246749268903
297,1109.574951171875,557.6074829101562,Valid,246749280006
298,1107.4847412109375,554.6840209960938,Valid,246749291109
299,1106.430419921875,551.5978393554688,Valid,246749302212
300,1105.0592041015625,548.6929321289062,Valid,246749313315
301,1104.2161865234375,546.2714233398438,Valid,246749324418
302,1103.7928466796875,544.1314086914062,Valid,246749335521
303,1103.1954345703125,542.126708984375,Valid,246749346624
304,1102.8414306640625,540.3338623046875,Valid,246749357728
305,1102.6734619140625,538.7601318359375,Valid,246749368831
306,1102.434814453125,537.2212524414062,Valid,246749379934
307,1100.686767578125,535.7855224609375,Valid,246749391037
308,1089.7301025390625,531.4089965820312,Valid,246749402140
309,1045.5555419921875,516.3192749023438,Valid,246749413243
310,972.712646484375,488.863037109375,Valid,246749424346
311,883.8652954101562,453.9106750488281,Valid,246749435449
312,800.480712890625,416.48736572265625,Valid,246749446553
313,738.6699829101562,389.13470458984375,Valid,246749457656
314,695.6177978515625,368.031982421875,Valid,246749468759
315,665.6949462890625,354.0174865722656,Valid,246749479862
316,644.785888671875,343.6767272949219,Valid,246749490965
317,630.814697265625,337.7069091796875,Valid,246749502068
318,622.692138671875,335.1910705566406,Valid,246749513171
319,618.16357421875,341.9240417480469,Valid,246749524274
320,616.0296630859375,350.5006408691406,Valid,246749535378
321,613.9468994140625,368.1359558105469,Valid,246749546481
322,-1920.0,-1080.0,Invalid,246749557584
323,-1920.0,-1080.0,Invalid,246749568687
324,-1920.0,-1080.0,Invalid,246749579790
325,-1920.0,-1080.0,Invalid,246749590893
326,-1920.0,-1080.0,Invalid,246749601996
327,-1920.0,-1080.0,Invalid,246749613099
328,558.8278198242188,302.6018981933594,Valid,246749624203
329,559.291748046875,284.1477355957031,Valid,246749635306
330,560.5728149414062,270.5410461425781,Valid,246749646409
331,563.5519409179688,259.0190124511719,Valid,246749657512
332,566.8665771484375,253.3507843017578,Valid,246749668615
333,568.3519287109375,248.7911376953125,Valid,246749679718
334,569.8140258789062,245.0432586669922,Valid,246749690821
335,569.6937255859375,242.83663940429688,Valid,246749701924
336,571.4844970703125,240.74313354492188,Valid,246749713028
337,572.7192993164062,238.48699951171875,Valid,246749724131
338,573.6334838867188,236.4459228515625,Valid,246749735234
339,573.592041015625,235.3786163330078,Valid,246749746337
340,574.3321533203125,234.56842041015625,Valid,246749757440
341,575.0747680664062,234.5958251953125,Valid,246749768543
342,575.5271606445312,235.51425170898438,Valid,246749779646
343,574.982421875,236.44375610351562,Valid,246749790749
344,574.5228271484375,236.64637756347656,Valid,246749801853
345,573.9702758789062,236.27218627929688,Valid,246749812956
346,570.3158569335938,233.1791534423828,Valid,246749824059
347,562.443115234375,227.64830017089844,Valid,246749835162
348,549.2193603515625,218.5552520751953,Valid,246749846265
349,537.2425537109375,210.5694122314453,Valid,246749857368
350,527.640869140625,203.9408721923828,Valid,246749868471
351,520.6524658203125,199.06912231445312,Valid,246749879574
352,514.1887817382812,195.71728515625,Valid,246749890678
353,509.0701599121094,193.0592498779297,Valid,246749901781
354,504.2389831542969,190.92820739746094,Valid,246749912884
355,501.7727966308594,189.71038818359375,Valid,246749923987
356,500.170166015625,189.3621368408203,Valid,246749935090
357,499.0187072753906,189.188232421875,Valid,246749946193
358,497.6171569824219,188.98089599609375,Valid,246749957296
359,495.72943115234375,188.49594116210938,Valid,246749968399
360,494.0731506347656,187.62425231933594,Valid,246749979503
361,493.3887939453125,186.7100830078125,Valid,246749990606
362,495.3603820800781,185.48553466796875,Valid,246750001709
363,513.09033203125,184.84500122070312,Valid,246750012812
364,551.0452880859375,183.06643676757812,Valid,246750023915
365,639.3372192382812,180.9439239501953,Valid,246750035018
366,805.9762573242188,178.2415771484375,Valid,246750046121
367,976.1394653320312,179.91366577148438,Valid,246750057224
368,1109.400146484375,180.1634521484375,Valid,246750068328
369,1197.0865478515625,181.52188110351562,Valid,246750079431
370,1253.656982421875,179.0850067138672,Valid,246750090534
371,1290.7349853515625,179.46910095214844,Valid,246750101637
372,1313.98779296875,178.79808044433594,Valid,246750112740
373,1328.2919921875,178.06809997558594,Valid,246750123843
374,1337.30322265625,178.0036163330078,Valid,246750134946
375,1344.0362548828125,179.36766052246094,Valid,246750146049
376,1348.6722412109375,182.44056701660156,Valid,246750157153
377,1351.794921875,184.04490661621094,Valid,246750168256
378,1352.639404296875,184.5950927734375,Valid,246750179359
379,1354.3524169921875,185.2951202392578,Valid,246750190462
380,1354.70654296875,184.69187927246094,Valid,246750201565
381,1355.0626220703125,184.08982849121094,Valid,246750212668
382,1354.8353271484375,184.29205322265625,Valid,246750223771
383,1353.4329833984375,185.77264404296875,Valid,246750234874
384,1342.0323486328125,191.4674072265625,Valid,246750245978
385,1327.11572265625,198.51136779785156,Valid,246750257081
386,1310.3614501953125,206.53338623046875,Valid,246750268184
387,1296.5897216796875,214.28463745117188,Valid,246750279287
388,1285.5303955078125,220.8997344970703,Valid,246750290390
389,1276.4259033203125,226.9575958251953,Valid,246750301493
390,1268.7177734375,232.123046875,Valid,246750312596
391,1261.9971923828125,236.99871826171875,Valid,246750323699
392,1256.5657958984375,241.94955444335938,Valid,246750334803
393,1252.46337890625,246.45640563964844,Valid,246750345906
394,1248.959228515625,248.88975524902344,Valid,246750357009
395,1245.8076171875,249.39154052734375,Valid,246750368112
396,1243.44091796875,249.66262817382812,Valid,246750379215
397,1241.4952392578125,250.30091857910156,Valid,246750390318
398,1240.1307373046875,251.02276611328125,Valid,246750401421
399,1238.5400390625,250.9904327392578,Valid,246750412524
400,1237.450439453125,251.1760711669922,Valid,246750423628
401,1236.3814697265625,251.72601318359375,Valid,246750434731
402,1235.496826171875,252.4352264404297,Valid,246750445834
403,1234.332763671875,253.0558319091797,Valid,246750456937
404,1233.1990966796875,253.5102996826172,Valid,246750468040
405,1232.2386474609375,253.6394805908203,Valid,246750479143
406,1231.352294921875,254.2677764892578,Valid,246750490246
407,1230.6463623046875,254.9752197265625,Valid,246750501349
