Name,Task1_MFD,Task2_MFD,Task3_MFD,Task4_MFD,Task1_MFD_SD,Task2_MFD_SD,Task3_MFD_SD,Task4_MFD_SD,Overall_MFD,Overall_MFD_SD
elliott,0.09914621211984666,0.09992812643692048,0.09992815533882342,0.09992813592261264,0.006771942074785948,3.3426640123992326e-07,3.6400080748685224e-07,3.443807459810789e-07,0.0997326574545508,0.001693246180685164
osman,0.09980016470551217,0.09979840740597416,0.09979174683412796,0.09979075000082957,0.0011800100667589484,0.0011672333719919858,0.0012122981320799215,0.001228620330852752,0.09979526723661097,0.001197040475420902
mathilde,0.09992806315667142,0.0999261382976522,0.0999280909076333,0.09980991208710922,2.4453717626457256e-07,1.940823462712863e-05,2.8879432848272753e-07,0.0011278648540755949,0.09989805111226654,0.0002869516050518677
noemie,0.09969918556708228,0.09971455769230558,0.09963535397999665,0.0998320442467796,0.0015859890885960076,0.0021774850823103016,0.00231777450862324,0.0010211626275685988,0.09972028537154104,0.0017756028267745371
