Name,Task1_MFD,Task2_MFD,Task3_MFD,Task4_MFD,Task1_MFD_SD,Task2_MFD_SD,Task3_MFD_SD,Task4_MFD_SD,Overall_MFD,Overall_MFD_SD
kasem,0.09865775862213588,0.09992819565314162,0.0998329541292426,0.09981233684107121,0.010760318134441175,3.9887293225131395e-07,0.0009935647871345315,0.001128589335897905,0.09955781131139783,0.0032207177826014655
elenatrianti,0.09982153000077233,0.09979851852080578,0.099808600001658,0.09980825842698261,0.0010664172375442634,0.001166570882821892,0.0011342202266633667,0.0011308190358776083,0.09980922673755468,0.0011245068457267826
kareem,0.09912790991114201,0.09992806796432084,0.09920175700659524,0.09992811881238595,0.008430908844928545,2.529117801860641e-07,0.007513682116305739,3.2517840078563483e-07,0.09954646342361101,0.003986292262853814
yeshi,0.09992807142901126,0.09973503539824974,0.09983712820556118,0.09924029203598486,2.586987608301565e-07,0.0014448014760838433,0.000984514009879219,0.007311479979138127,0.09968513176720176,0.002435263540965505
jonah,0.09992814706079205,0.09992809821259081,0.09992811764652074,0.09992812499907207,3.559146089078912e-07,2.989412869198466e-07,3.2378144326896525e-07,3.32453944075242e-07,0.09992812197974392,3.2777282079298625e-07
