,x,y,validity,timestamp_us
0,913.7522583007812,432.58544921875,Valid,243661702865
1,913.4508056640625,432.92462158203125,Valid,243661713968
2,913.3107299804688,433.8020324707031,Valid,243661725071
3,913.2907104492188,435.02117919921875,Valid,243661736174
4,913.5199584960938,435.880126953125,Valid,243661747278
5,913.650146484375,436.37286376953125,Valid,243661758381
6,913.9503173828125,436.7760009765625,Valid,243661769484
7,914.1004028320312,436.6493225097656,Valid,243661780587
8,914.5365600585938,436.7642822265625,Valid,243661791690
9,914.8143920898438,436.3907470703125,Valid,243661802793
10,915.086669921875,436.4833679199219,Valid,243661813896
11,915.06201171875,436.3735656738281,Valid,243661824999
12,915.1547241210938,436.2874755859375,Valid,243661836103
13,914.9111938476562,435.7596130371094,Valid,243661847206
14,914.7557983398438,435.1897277832031,Valid,243661858309
15,914.5944213867188,435.065673828125,Valid,243661869412
16,914.7535400390625,435.4080810546875,Valid,243661880515
17,914.7689819335938,435.3904724121094,Valid,243661891618
18,914.7986450195312,435.7867736816406,Valid,243661902721
19,915.0699462890625,436.16259765625,Valid,243661913824
20,915.3868408203125,436.6864013671875,Valid,243661924928
21,915.5763549804688,437.148193359375,Valid,243661936031
22,914.5665283203125,437.54681396484375,Valid,243661947134
23,913.652587890625,438.47467041015625,Valid,243661958237
24,912.9285278320312,439.4248352050781,Valid,243661969340
25,913.9008178710938,441.0519104003906,Valid,243661980443
26,911.5370483398438,443.3349609375,Valid,243661991546
27,903.3735961914062,449.88800048828125,Valid,243662002649
28,879.3433227539062,458.5455322265625,Valid,243662013753
29,842.33154296875,470.1859130859375,Valid,243662024856
30,804.2737426757812,477.74493408203125,Valid,243662035959
31,772.6292114257812,486.30731201171875,Valid,243662047062
32,746.03857421875,494.5453796386719,Valid,243662058165
33,725.1324462890625,501.29315185546875,Valid,243662069268
34,708.56494140625,504.3753967285156,Valid,243662080371
35,694.8609619140625,505.8616943359375,Valid,243662091474
36,683.0582885742188,506.26434326171875,Valid,243662102578
37,673.017578125,506.9253234863281,Valid,243662113681
38,666.0545043945312,508.1641845703125,Valid,243662124784
39,660.776611328125,508.85302734375,Valid,243662135887
40,655.9571533203125,508.63848876953125,Valid,243662146990
41,650.9387817382812,506.6332092285156,Valid,243662158093
42,647.4402465820312,504.5577087402344,Valid,243662169196
43,645.0927734375,502.14776611328125,Valid,243662180299
44,642.4378051757812,500.17388916015625,Valid,243662191403
45,639.8377075195312,498.5534973144531,Valid,243662202506
46,637.0819702148438,497.11083984375,Valid,243662213609
47,635.6903686523438,496.1231689453125,Valid,243662224712
48,634.5065307617188,495.2489318847656,Valid,243662235815
49,633.7593994140625,495.351318359375,Valid,243662246918
50,633.8334350585938,493.8587646484375,Valid,243662258021
51,633.9935302734375,492.7078857421875,Valid,243662269124
52,633.244140625,491.34503173828125,Valid,243662280228
53,632.7928466796875,490.20513916015625,Valid,243662291331
54,629.2633666992188,491.12750244140625,Valid,243662302434
55,620.1172485351562,494.3725280761719,Valid,243662313537
56,590.4075927734375,503.8090515136719,Valid,243662324640
57,549.9404907226562,515.2384643554688,Valid,243662335743
58,511.00250244140625,527.8021850585938,Valid,243662346846
59,477.2929992675781,539.2379150390625,Valid,243662357949
60,451.1055603027344,548.8176879882812,Valid,243662369053
61,430.05706787109375,556.3831787109375,Valid,243662380156
62,402.6410827636719,563.9019775390625,Valid,243662402362
63,393.65301513671875,565.8899536132812,Valid,243662413465
64,369.7552795410156,567.937744140625,Valid,243662468981
65,365.7587890625,567.5901489257812,Valid,243662480084
66,364.36273193359375,582.2713012695312,Valid,243662491187
67,363.0016174316406,572.4347534179688,Valid,243662502290
68,362.8797912597656,573.8786010742188,Valid,243662513393
69,362.4883728027344,573.7114868164062,Valid,243662524496
70,362.01519775390625,573.3114624023438,Valid,243662535599
71,360.4661560058594,572.5316772460938,Valid,243662557806
72,359.97918701171875,571.9080810546875,Valid,243662568909
73,360.279541015625,571.7261962890625,Valid,243662580012
74,360.89703369140625,571.6508178710938,Valid,243662591115
75,362.4241943359375,573.560791015625,Valid,243662613321
76,363.12115478515625,575.1298828125,Valid,243662624424
77,357.3620300292969,575.80810546875,Valid,243662646631
78,344.24200439453125,575.9472045898438,Valid,243662657734
79,326.6308288574219,576.1324462890625,Valid,243662668837
80,307.47186279296875,576.2664184570312,Valid,243662679940
81,289.986083984375,576.2133178710938,Valid,243662691043
82,275.0526123046875,576.0848388671875,Valid,243662702146
83,263.06512451171875,576.5289916992188,Valid,243662713249
84,252.815673828125,577.47412109375,Valid,243662724353
85,244.31504821777344,577.870849609375,Valid,243662735456
86,237.148193359375,577.8231201171875,Valid,243662746559
87,231.40957641601562,577.7208862304688,Valid,243662757662
88,226.5464630126953,578.3822021484375,Valid,243662768765
89,221.54928588867188,577.4921264648438,Valid,243662779868
90,217.74842834472656,577.28076171875,Valid,243662790971
91,214.84500122070312,577.3787841796875,Valid,243662802074
92,213.07020568847656,578.6853637695312,Valid,243662813178
93,211.701171875,578.943359375,Valid,243662824281
94,210.25721740722656,579.134033203125,Valid,243662835384
95,208.41921997070312,578.5220336914062,Valid,243662846487
96,206.37147521972656,577.9265747070312,Valid,243662857590
97,205.62234497070312,577.3873901367188,Valid,243662868693
98,205.25038146972656,577.376708984375,Valid,243662879796
99,205.2065887451172,577.3672485351562,Valid,243662890899
100,204.914306640625,577.8429565429688,Valid,243662902003
101,204.95510864257812,577.6312866210938,Valid,243662913106
102,204.7559814453125,577.4388427734375,Valid,243662924209
103,204.7484588623047,576.77783203125,Valid,243662935312
104,204.7372283935547,576.106689453125,Valid,243662946415
105,204.71728515625,574.9447631835938,Valid,243662957518
106,203.4812774658203,574.1173095703125,Valid,243662968621
107,203.440673828125,573.5206909179688,Valid,243662979724
108,203.3418426513672,572.8071899414062,Valid,243662990828
109,203.35340881347656,572.577880859375,Valid,243663001931
110,202.9370574951172,573.0716552734375,Valid,243663013034
111,205.99891662597656,573.9948120117188,Valid,243663024137
112,212.57371520996094,574.8294067382812,Valid,243663035240
113,246.39486694335938,577.0346069335938,Valid,243663046343
114,346.91900634765625,582.6904907226562,Valid,243663057446
115,492.2694396972656,593.254638671875,Valid,243663068549
116,706.1467895507812,612.7416381835938,Valid,243663079653
117,940.497314453125,640.7474975585938,Valid,243663090756
118,1132.0545654296875,665.2594604492188,Valid,243663101859
119,1265.3917236328125,682.378662109375,Valid,243663112962
120,1345.1824951171875,694.3692016601562,Valid,243663124065
121,1392.730224609375,701.3353881835938,Valid,243663135168
122,1418.251708984375,706.5526733398438,Valid,243663146271
123,1437.98291015625,709.8756103515625,Valid,243663168478
124,1441.614013671875,708.9849243164062,Valid,243663179581
125,1443.9857177734375,707.4702758789062,Valid,243663190684
126,1446.8468017578125,709.1653442382812,Valid,243663223993
127,1446.43408203125,708.5853271484375,Valid,243663279509
128,1350.63671875,677.323486328125,Valid,243663323921
129,1336.365234375,673.0376586914062,Valid,243663335024
130,1325.094970703125,669.7915649414062,Valid,243663346128
131,1315.8348388671875,667.2052001953125,Valid,243663357231
132,1308.0843505859375,664.6746826171875,Valid,243663368334
133,1301.215576171875,662.8585815429688,Valid,243663379437
134,1294.8209228515625,661.5083618164062,Valid,243663390540
135,1289.50341796875,660.0849609375,Valid,243663401643
136,1284.671142578125,659.6943969726562,Valid,243663412746
137,1280.2542724609375,659.1495361328125,Valid,243663423849
138,1276.248291015625,658.780029296875,Valid,243663434953
139,1272.7862548828125,658.0032348632812,Valid,243663446056
140,1269.8984375,657.1973876953125,Valid,243663457159
141,1266.7261962890625,656.98779296875,Valid,243663468262
142,1264.443115234375,656.9963989257812,Valid,243663479365
143,1263.4423828125,659.5306396484375,Valid,243663490468
144,1264.625244140625,664.266845703125,Valid,243663501571
145,1267.477294921875,671.2334594726562,Valid,243663512674
146,1272.622802734375,680.9107055664062,Valid,243663523778
147,1278.3128662109375,690.8848876953125,Valid,243663534881
148,1283.2847900390625,700.9130249023438,Valid,243663545984
149,1288.190673828125,710.9872436523438,Valid,243663557087
150,1292.7025146484375,719.1848754882812,Valid,243663568190
151,1295.8360595703125,726.8408813476562,Valid,243663579293
152,1298.0106201171875,732.7387084960938,Valid,243663590396
153,1299.33935546875,738.4401245117188,Valid,243663601499
154,1300.806884765625,743.5386962890625,Valid,243663612603
155,1302.4510498046875,747.664794921875,Valid,243663623706
156,1304.0213623046875,750.6353759765625,Valid,243663634809
157,1305.4937744140625,753.3423461914062,Valid,243663645912
158,1306.978759765625,755.474609375,Valid,243663657015
159,1307.793701171875,757.3035278320312,Valid,243663668118
160,1307.7962646484375,759.3778076171875,Valid,243663679221
161,1307.5142822265625,760.6742553710938,Valid,243663690324
162,1307.72998046875,762.27783203125,Valid,243663701428
163,1307.8355712890625,763.0885620117188,Valid,243663712531
164,1308.37646484375,765.1861572265625,Valid,243663723634
165,1309.148193359375,766.044189453125,Valid,243663734737
166,1307.9052734375,766.6231079101562,Valid,243663745840
167,1292.77685546875,766.48291015625,Valid,243663756943
168,1263.3834228515625,764.8329467773438,Valid,243663768046
169,1185.2447509765625,760.5064086914062,Valid,243663779149
170,1058.7607421875,752.4842529296875,Valid,243663790253
171,910.9049072265625,743.8773193359375,Valid,243663801356
172,747.3924560546875,733.45703125,Valid,243663812459
173,621.218017578125,723.3770141601562,Valid,243663823562
174,536.11279296875,715.3468017578125,Valid,243663834665
175,481.07232666015625,709.229736328125,Valid,243663845768
176,447.1828308105469,704.8282470703125,Valid,243663856871
177,427.31396484375,702.5765991210938,Valid,243663867974
178,414.02691650390625,702.3302001953125,Valid,243663879078
179,405.72491455078125,703.3770141601562,Valid,243663890181
180,398.5346374511719,703.6483154296875,Valid,243663901284
181,394.2821960449219,704.7718505859375,Valid,243663912387
182,390.7738952636719,705.006591796875,Valid,243663923490
183,389.4228515625,705.4013061523438,Valid,243663934593
184,388.010498046875,705.4163818359375,Valid,243663945696
185,387.05126953125,704.700927734375,Valid,243663956799
186,387.57196044921875,703.8870849609375,Valid,243663967903
187,388.508544921875,703.696044921875,Valid,243663979006
188,386.7474060058594,707.6561889648438,Valid,243663990109
189,382.243408203125,713.943603515625,Valid,243664001212
190,374.2148742675781,720.6521606445312,Valid,243664012315
191,367.0633239746094,726.09619140625,Valid,243664023418
192,361.4626159667969,730.2957763671875,Valid,243664034521
193,356.7992858886719,733.9481811523438,Valid,243664045624
194,353.32940673828125,738.178466796875,Valid,243664056728
195,350.4744567871094,741.2158813476562,Valid,243664067831
196,349.1897277832031,744.3446655273438,Valid,243664078934
197,348.1142578125,746.38330078125,Valid,243664090037
198,347.4395446777344,747.6783447265625,Valid,243664101140
199,346.87322998046875,748.3224487304688,Valid,243664112243
200,346.1174621582031,748.6885986328125,Valid,243664123346
201,345.978515625,749.4990234375,Valid,243664134449
202,350.70111083984375,749.3417358398438,Valid,243664145553
203,362.47705078125,747.294677734375,Valid,243664156656
204,374.50567626953125,744.8319702148438,Valid,243664167759
205,386.3685607910156,742.5679931640625,Valid,243664178862
206,397.3299865722656,740.4859008789062,Valid,243664189965
207,410.569091796875,738.010986328125,Valid,243664201068
208,424.4581298828125,734.7073364257812,Valid,243664212171
209,437.7168884277344,731.5108642578125,Valid,243664223274
210,450.31207275390625,728.2574462890625,Valid,243664234378
211,462.7453308105469,725.7534790039062,Valid,243664245481
212,473.510986328125,723.169921875,Valid,243664256584
213,482.9261474609375,720.7550048828125,Valid,243664267687
214,489.98406982421875,718.7009887695312,Valid,243664278790
215,496.3875427246094,718.05615234375,Valid,243664289893
216,501.61285400390625,717.964111328125,Valid,243664300996
217,504.7956848144531,717.3435668945312,Valid,243664312099
218,507.5517578125,716.119140625,Valid,243664323203
219,509.9569091796875,714.96533203125,Valid,243664334306
220,512.922607421875,713.8677978515625,Valid,243664345409
221,515.4107666015625,713.0250244140625,Valid,243664356512
222,518.0311279296875,712.5,Valid,243664367615
223,519.8067016601562,713.04833984375,Valid,243664378718
224,521.0294799804688,713.53857421875,Valid,243664389821
225,521.5762939453125,714.1292114257812,Valid,243664400924
226,522.2127685546875,712.952392578125,Valid,243664412028
227,522.19677734375,709.8295288085938,Valid,243664423131
228,522.1681518554688,706.7866821289062,Valid,243664434234
229,521.8070068359375,703.3656005859375,Valid,243664445337
230,521.24951171875,700.2962036132812,Valid,243664456440
231,520.5762939453125,697.8206176757812,Valid,243664467543
232,520.0001831054688,696.4857177734375,Valid,243664478646
233,519.3551635742188,696.4115600585938,Valid,243664489749
234,519.136474609375,696.096435546875,Valid,243664500853
235,518.2753295898438,695.6520385742188,Valid,243664511956
236,517.5042114257812,695.1807861328125,Valid,243664523059
237,517.2108154296875,694.9371948242188,Valid,243664534162
238,517.2572631835938,695.2142944335938,Valid,243664545265
239,517.077392578125,695.0848999023438,Valid,243664556368
